TIMESPAN,BLOCKCHAIN,MARKET_STATE,ACTIVE_USERS
2022-10-10,Ethereum,Current Bear,7405
2022-10-10,Optimism,Current Bear,704
2022-10-10,Arbitrum,Current Bear,437
2022-10-10,Polygon,Current Bear,1866
2022-10-17,Optimism,Current Bear,567
2022-10-17,Polygon,Current Bear,1769
2022-10-17,Ethereum,Current Bear,9974
2022-10-17,Arbitrum,Current Bear,502
2022-10-24,Ethereum,Current Bear,9044
2022-10-24,Optimism,Current Bear,614
2022-10-24,Arbitrum,Current Bear,980
2022-10-24,Polygon,Current Bear,2122
2022-10-31,Ethereum,Current Bear,8011
2022-10-31,Arbitrum,Current Bear,927
2022-10-31,Polygon,Current Bear,2369
2022-10-31,Optimism,Current Bear,714
2022-11-07,Optimism,Current Bear,636
2022-11-07,Polygon,Current Bear,3118
2022-11-07,Arbitrum,Current Bear,1314
2022-11-07,Ethereum,Current Bear,6301
2022-11-14,Ethereum,Current Bear,6225
2022-11-14,Optimism,Current Bear,538
2022-11-14,Arbitrum,Current Bear,876
2022-11-14,Polygon,Current Bear,2332
2022-11-21,Ethereum,Current Bear,5522
2022-11-21,Polygon,Current Bear,2193
2022-11-21,Optimism,Current Bear,471
2022-11-21,Arbitrum,Current Bear,792
2022-11-28,Polygon,Current Bear,1897
2022-11-28,Optimism,Current Bear,432
2022-11-28,Ethereum,Current Bear,6282
2022-11-28,Arbitrum,Current Bear,856
2022-12-05,Arbitrum,Current Bear,780
2022-12-05,Ethereum,Current Bear,6922
2022-12-05,Optimism,Current Bear,504
2022-12-05,Polygon,Current Bear,1987
2022-12-12,Arbitrum,Current Bear,870
2022-12-12,Ethereum,Current Bear,6831
2022-12-12,Polygon,Current Bear,2068
2022-12-12,Optimism,Current Bear,539
2022-12-19,Optimism,Current Bear,420
2022-12-19,Polygon,Current Bear,2052
2022-12-19,Ethereum,Current Bear,6256
2022-12-19,Arbitrum,Current Bear,911
2022-12-26,Ethereum,Current Bear,5917
2022-12-26,Arbitrum,Current Bear,535
2022-12-26,Optimism,Current Bear,372
2022-12-26,Polygon,Current Bear,1688
2023-01-02,Arbitrum,Current Bear,712
2023-01-02,Polygon,Current Bear,1587
2023-01-02,Optimism,Current Bear,484
2023-01-02,Ethereum,Current Bear,8251
2023-01-09,Optimism,Current Bear,805
2023-01-09,Polygon,Current Bear,2315
2023-01-09,Arbitrum,Current Bear,771
2023-01-09,Ethereum,Current Bear,8204
2023-01-16,Polygon,Current Bear,2374
2023-01-16,Ethereum,Current Bear,7481
2023-01-16,Arbitrum,Current Bear,806
2023-01-16,Optimism,Current Bear,635
2023-01-23,Polygon,Current Bear,2590
2023-01-23,Ethereum,Current Bear,7570
2023-01-23,Arbitrum,Current Bear,791
2023-01-23,Optimism,Current Bear,600
2023-01-30,Ethereum,Current Bear,10161
2023-01-30,Arbitrum,Current Bear,1160
2023-01-30,Polygon,Current Bear,2639
2023-01-30,Optimism,Current Bear,559
2023-02-06,Arbitrum,Current Bear,1465
2023-02-06,Polygon,Current Bear,2680
2023-02-06,Ethereum,Current Bear,9409
2023-02-06,Optimism,Current Bear,591
2023-02-13,Ethereum,Current Bear,7828
2023-02-13,Polygon,Current Bear,2733
2023-02-13,Arbitrum,Current Bear,2378
2023-02-13,Optimism,Current Bear,635
2023-02-20,Optimism,Current Bear,661
2023-02-20,Polygon,Current Bear,2275
2023-02-20,Arbitrum,Current Bear,6277
2023-02-20,Ethereum,Current Bear,6404
2023-02-27,Optimism,Current Bear,580
2023-02-27,Polygon,Current Bear,2200
2023-02-27,Ethereum,Current Bear,8524
2023-02-27,Arbitrum,Current Bear,2058
2023-03-06,Optimism,Current Bear,663
2023-03-06,Ethereum,Current Bear,8323
2023-03-06,Arbitrum,Current Bear,1385
2023-03-06,Polygon,Current Bear,2728
2023-03-13,Arbitrum,Current Bear,1988
2023-03-13,Ethereum,Current Bear,8156
2023-03-13,Polygon,Current Bear,2900
2023-03-13,BSC,Current Bear,27
2023-03-13,Optimism,Current Bear,719
2023-03-20,Ethereum,Current Bear,8035
2023-03-20,Polygon,Current Bear,2521
2023-03-20,Arbitrum,Current Bear,2533
