PROTOCOLS,TIMESPAN,VOLUME
dodo,2021-09-13,606125032
trader joe dex,2021-09-13,1232977421
pancakeswap,2021-09-20,5500080892
sushiswap,2021-09-20,3708266232
sunswap,2021-09-20,1286208256
spookyswap,2021-09-20,544484638
uniswap,2021-09-20,14399444257
trader joe dex,2021-09-20,2098638578
dodo,2021-09-20,1022233694
pancakeswap,2021-09-27,4333923731
spookyswap,2021-09-27,436108819
biswap,2021-09-27,401557802
sushiswap,2021-09-27,2389476816
sunswap,2021-09-27,804541068
uniswap,2021-09-27,10207315979
dodo,2021-09-27,817802248
trader joe dex,2021-09-27,1388082661
sushiswap,2021-10-04,3294797093
spookyswap,2021-10-04,1290341200
sunswap,2021-10-04,1189353648
trader joe dex,2021-10-04,1534900686
dodo,2021-10-04,771664552
biswap,2021-10-04,1116954518
uniswap,2021-10-04,11041053548
pancakeswap,2021-10-04,5255449022
dodo,2021-10-11,984880931
spookyswap,2021-10-11,873619328
biswap,2021-10-11,1345147544
trader joe dex,2021-10-11,1725554666
sunswap,2021-10-11,940542726
sushiswap,2021-10-11,5115349595
uniswap,2021-10-11,13808122454
pancakeswap,2021-10-11,7021346932
uniswap,2021-10-18,15129531951
sunswap,2021-10-18,1057049400
pancakeswap,2021-10-18,6391075137
biswap,2021-10-18,1434365892
dodo,2021-10-18,992549598
sushiswap,2021-10-18,4882429026
spookyswap,2021-10-18,840772207
trader joe dex,2021-10-18,1683493543
sunswap,2021-10-25,1455146272
dodo,2021-10-25,1142040528
biswap,2021-10-25,1914016746
trader joe dex,2021-10-25,1964471488
pancakeswap,2021-10-25,9766364932
uniswap,2021-10-25,18672424056
sushiswap,2021-10-25,5720780612
spookyswap,2021-10-25,1634539459
dodo,2021-11-01,889933010
trader joe dex,2021-11-01,1931661095
spookyswap,2021-11-01,1260109791
uniswap,2021-11-01,16189136362
pancakeswap,2021-11-01,12763540479
biswap,2021-11-01,1898470878
sushiswap,2021-11-01,4428086149
sunswap,2021-11-01,1211908364
sunswap,2021-11-08,1111061432
spookyswap,2021-11-08,1180575236
biswap,2021-11-08,2560970368
dodo,2021-11-08,910807465
uniswap,2021-11-08,20046887526
trader joe dex,2021-11-08,3191419979
sushiswap,2021-11-08,4252783133
pancakeswap,2021-11-08,13107431818
sunswap,2021-11-15,1695947698
uniswap,2021-11-15,20767678525
spookyswap,2021-11-15,1400089199
sushiswap,2021-11-15,4201401863
trader joe dex,2021-11-15,4781488513
biswap,2021-11-15,2999514050
pancakeswap,2021-11-15,14156598745
dodo,2021-11-15,1192651726
sushiswap,2021-11-22,4901401254
spookyswap,2021-11-22,1735041262
pancakeswap,2021-11-22,13173682869
biswap,2021-11-22,3301830722
uniswap,2021-11-22,22766984946
sunswap,2021-11-22,1220917884
dodo,2021-11-22,1096228493
trader joe dex,2021-11-22,5252673202
pancakeswap,2021-11-29,14294899089
trader joe dex,2021-11-29,4129150943
