LIQUIDITY_PROVIDER,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
0x6933bcc3e96f1c4d2cb73cb391d854b18ab7a4f2,26090620.2442503,-3510290.10161426,22580330.142636,6974027.34234393,-1735436.90737088,5238590.43497305,19116592.9019064,-1774853.19424339,17341739.707663
0xbe4c803539d1efac959e4cb6aafd2458fb848be2,53759949.839546,-32402860.6613046,21357089.1782414,25406846.6792233,-3244079.89535196,22162766.7838713,28353103.1603227,-29158780.7659526,-805677.605629899
0x3bb152e1758659663d6ae8377d054be015e191f3,453677911.741219,-432475248.091008,21202663.6502101,54998909.6642308,-52019962.7667781,2978946.89745271,398679002.076988,-380455285.32423,18223716.7527575
0x3b6067fb56e44f9da97aae995e0ccf7a5d0a40cb,20102094.0327301,0,20102094.0327301,20102094.0327301,0,20102094.0327301,0,0,0
0xf6af7c4062d74bf62513cd910413d7638bec748b,20000000,-146123.2,19853876.8,20000000,-146123.2,19853876.8,0,0,0
0xb136f3756028dc75de4dd24bdc0c2f0270e18b3c,151682131.424298,-131879277.151266,19802854.2730319,58260505.3967137,-42524907.4006724,15735597.9960413,93421626.027584,-89354369.7505933,4067256.27699065
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,1079281642.77323,-1059636436.71647,19645206.056757,546203406.626511,-715466720.808703,-169263314.182192,533291998.294555,-344360038.120818,188931960.173736
0x5997290d9ae2f8fcccbd10313cbbdc917687997a,19621911.0965763,0,19621911.0965763,9915819.29735206,0,9915819.29735206,9706091.79922422,0,9706091.79922422
0x912ea0fca074907c7199652b1b4d7603e51660a2,33633834.0842911,-14665862.2612998,18967971.8229913,19109809.7343931,-11148952.7110285,7960857.02336457,14524024.349898,-3516909.55027129,11007114.7996267
0x90c2cf2282652303aa939f7f92fb4383192179b0,31846999.4058453,-14613047.5872191,17233951.8186262,16643406.576465,-8406636.83270566,8236769.74375933,15203592.8293804,-6206410.75451345,8997182.07486691
0x7cb7635ff3998a63dc0a6239d9768ad649987976,17255856.0479959,-242931.355964671,17012924.6920312,2167438.19780888,-41386.170895285,2126052.0269136,15088417.850187,-201545.185069386,14886872.6651176
0x2933a50aef77d805de3deb45facd1305e69580c9,437957448.924271,-421015985.108256,16941463.8160153,310284138.450559,-294635034.504003,15649103.9465564,292429556.648475,-285926025.710222,6503530.93825293
0xb369b35bcf48257f5cc0ad688350dae80bbc994a,882479555.531204,-865565238.87377,16914316.6574334,392407615.517884,-295679956.853179,96727658.664705,490071940.01332,-569885282.020591,-79813342.0072713
0x92e5d84e70fcebbed9aa7c683c58f2e8172c28f0,16575555.3987022,0,16575555.3987022,7095111.39940731,0,7095111.39940731,9480443.99929485,0,9480443.99929485
0x9987f4ab821927556be111eff044bdb0a8f51027,350302023.883836,-333893869.383404,16408154.5004317,100855404.102439,-115008424.724703,-14153020.6222634,249446619.781397,-218885444.658702,30561175.1226952
0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,24933794.7554965,-8545202.93508139,16388591.8204151,17751977.4589051,-5698096.32482554,12053881.1340796,7181817.29659141,-2847106.61025585,4334710.68633556
0x5ecfd6968593159e5b4f06832857943409122849,18421117.7597012,-2178776.72605228,16242341.0336489,9711618.37169196,-777276.5,8934341.87169196,8709499.38800921,-1401500.22605228,7307999.16195693
0xd730cd62cda9cfdc109be2d819b0337fafdca959,1382977540.84211,-1366809171.28605,16168369.5560622,621420832.522832,-582153231.920108,39267600.6027246,761556708.319282,-784655939.365944,-23099231.0466627
