TIMESPAN,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,CUMUL_NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
2021-08-09 00:00:00.000,1074553357.41281,-982877639.454325,91675717.9584813,7102582387.43386,597036253.115131,-607173108.049103,-10136854.9339724,481365959.303672,-391869864.05364,89496095.2500312
2021-08-16 00:00:00.000,1567469632.11072,-1454204173.17032,113265458.940399,7215847846.37426,782712076.843161,-731083285.546582,51628791.2965789,793248892.24962,-727561789.575581,65687102.6740391
2021-08-23 00:00:00.000,5065187528.31186,-4988693244.76391,76494283.547945,7292342129.92221,1659841723.40648,-1623429732.82202,36411990.5844603,3412968321.61473,-3374069834.94299,38898486.6717448
2021-08-30 00:00:00.000,5981884099.7717,-6184084095.80483,-202199996.033125,7090142133.88908,2198573259.55126,-2443854965.16513,-245281705.61387,3791236982.40924,-3747577702.86504,43659279.5441937
2021-09-06 00:00:00.000,3667936273.97191,-3809947624.34366,-142011350.371743,6948130783.51734,1511164983.24666,-1588658503.73182,-77493520.4851561,2188455594.06542,-2233593879.97846,-45138285.9130468
2021-09-13 00:00:00.000,3927280425.27188,-3806599654.8899,120680770.38198,7068811553.89932,1346065504.0406,-1275751541.34191,70313962.6986833,2612378160.47011,-2550241905.766,62136254.7041092
2021-09-27 00:00:00.000,2023072141.05691,-2010500529.93289,12571611.1240189,7081383165.02334,860818587.763992,-841503624.303563,19314963.4604286,1176766764.54402,-1185528336.92546,-8761572.38143802
2021-10-04 00:00:00.000,847874375.594531,-804800806.835869,43073568.7586626,7124456733.782,437827420.611143,-372956352.914094,64871067.6970484,422495886.006165,-441973069.657692,-19477183.6515268
2021-10-11 00:00:00.000,2325716590.39501,-2174443185.84201,151273404.552999,7275730138.335,994375157.611826,-959652318.885514,34722838.726312,1352658625.52484,-1232930187.5603,119728437.964535
2021-10-18 00:00:00.000,3576071631.98684,-3486147293.44741,89924338.5394316,7365654476.87443,1370575209.75884,-1435946352.78896,-65371143.0301239,2223116710.54564,-2067719059.37489,155397651.170753
2021-10-25 00:00:00.000,3259110108.43509,-3045701132.78194,213408975.653144,7579063452.52758,1314977046.87598,-1294107628.43342,20869418.4425588,1961732358.17192,-1761622712.56551,200109645.60641
2021-11-01 00:00:00.000,2213337665.5554,-2055887783.58989,157449881.965514,7736513334.49309,824876575.068821,-807121601.278472,17754973.7903491,1399158961.08729,-1267003961.14251,132154999.944776
2021-11-08 00:00:00.000,2478406749.2881,-2390499311.73949,87907437.5486078,7824420772.0417,1094881324.18937,-1067451328.42641,27429995.7629577,1419705416.56447,-1334876584.16586,84828832.3986123
2021-11-15 00:00:00.000,2927436168.20388,-2687869320.69561,239566847.508269,8063987619.54997,1532553430.2174,-1307810708.55059,224742721.666804,1438852292.02767,-1394111219.55337,44741072.4742982
2021-12-06 00:00:00.000,3605329212.58991,-3415121553.2682,190207659.321715,8254195278.87168,1295040108.22907,-1206891331.62285,88148776.6062195,2337631694.56296,-2226743901.02875,110887793.534215
2021-12-13 00:00:00.000,3885323281.33181,-3884507205.56016,816075.771653652,8255011354.64334,1820129129.60125,-1755499389.2596,64629740.3416498,2087566519.78402,-2146748862.8174,-59182343.0333743
2021-12-20 00:00:00.000,2521987792.55257,-2548105135.8704,-26117343.3178272,8228894011.32551,1088110788.18896,-1077397996.08628,10712792.1026804,1454091134.1201,-1486939419.16646,-32848285.0463653
2021-12-27 00:00:00.000,2333567381.77404,-2339866180.1758,-6298798.40175581,8222595212.92375,907237777.553684,-888578845.737262,18658931.8164226,1443720958.02165,-1464640836.39423,-20919878.3725798
2022-01-03 00:00:00.000,2895411479.79543,-2935384021.03625,-39972541.2408118,8182622671.68294,1178154428.07956,-1122349390.87146,55805037.2081001,1730298080.11842,-1825688729.66641,-95390649.5479908
